President,Date,Approve,Disapprove,Inaug,Days,Inflation,Unemployment Rate,Real GDP Growth (%)
Roosevelt,1941-07-22,69,24,1/20/1941,183,,,
Roosevelt,1941-07-29,65,25,1/20/1941,190,,,
Roosevelt,1941-08-05,68,23,1/20/1941,197,,,
Roosevelt,1941-08-19,65,26,1/20/1941,211,,,
Roosevelt,1941-08-26,67,24,1/20/1941,218,,,
Roosevelt,1941-09-09,70,23,1/20/1941,232,,,
Roosevelt,1941-09-17,70,24,1/20/1941,240,,,
Roosevelt,1942-01-23,83,10,1/20/1941,368,,,
Roosevelt,1942-02-28,78,13,1/20/1941,404,,,
Roosevelt,1942-03-17,74,15,1/20/1941,421,,,
Roosevelt,1942-03-17,75,14,1/20/1941,421,,,
Roosevelt,1942-06-09,77,15,1/20/1941,505,,,
Roosevelt,1942-07-01,79,12,1/20/1941,527,16.4,,
Roosevelt,1942-08-13,74,16,1/20/1941,570,,,
Roosevelt,1942-09-03,74,18,1/20/1941,591,,,
Roosevelt,1942-11-17,72,18,1/20/1941,666,,,
Roosevelt,1943-01-07,75,14,1/20/1941,717,,,
Roosevelt,1943-01-27,75,16,1/20/1941,737,,,
Roosevelt,1943-03-24,71,19,1/20/1941,793,,,
Roosevelt,1943-12-15,65,23,1/20/1941,1059,,,
Truman,1945-05-29,86,2,1/20/1945,129,,,
Truman,1945-08-22,91,2,1/20/1945,214,,,
Truman,1945-10-03,80,8,1/20/1945,256,,,
Truman,1945-10-31,75,13,1/20/1945,284,,,
Truman,1946-01-03,63,22,1/20/1945,348,,,
Truman,1946-02-27,48,38,1/20/1945,403,,,
Truman,1946-03-27,50,33,1/20/1945,431,,,
Truman,1946-05-29,45,42,1/20/1945,494,,,
Truman,1946-06-12,45,42,1/20/1945,508,,,
Truman,1946-09-11,33,51,1/20/1945,599,,,
Truman,1946-10-21,27,56,1/20/1945,639,,,
Truman,1946-11-13,34,52,1/20/1945,662,,,
Truman,1947-01-15,49,37,1/20/1945,725,,,
Truman,1947-03-19,58,22,1/20/1945,788,,,
Truman,1947-03-26,63,21,1/20/1945,795,,,
Truman,1947-04-23,57,24,1/20/1945,823,,,
Truman,1947-05-28,64,23,1/20/1945,858,,,
Truman,1947-06-18,55,31,1/20/1945,879,,,
Truman,1947-07-09,59,26,1/20/1945,900,,,
Truman,1947-09-10,55,27,1/20/1945,963,,,
Truman,1947-12-03,53,32,1/20/1945,1047,,,
Truman,1948-04-07,36,49,1/20/1945,1173,,,
Truman,1948-06-02,38,45,1/20/1945,1229,,,
Truman,1948-06-16,38,45,1/20/1945,1243,,,
Truman,1949-01-05,67,18,1/20/1945,1446,,,
Truman,1949-03-04,56,26,1/20/1945,1504,,,
Truman,1949-04-30,50,31,1/20/1945,1561,,,-1.4
Truman,1949-06-09,56,27,1/20/1945,1601,,,
Truman,1949-10-02,47,34,1/20/1945,1716,,,
Truman,1949-10-02,49,34,1/20/1945,1716,,,
Truman,1950-01-06,44,41,1/20/1945,1812,,,
Truman,1950-02-24,35,47,1/20/1945,1861,,,
Truman,1950-04-28,39,47,1/20/1945,1924,,,
Truman,1950-05-02,40,37,1/20/1945,1928,,,
Truman,1950-06-09,36,46,1/20/1945,1966,,,
Truman,1950-07-07,45,39,1/20/1945,1994,,,
Truman,1950-07-28,39,44,1/20/1945,2015,,,
Truman,1950-08-18,42,32,1/20/1945,2036,,,
Truman,1950-09-15,34,47,1/20/1945,2064,,,
Truman,1950-09-29,34,50,1/20/1945,2078,,,
Truman,1950-10-06,42,36,1/20/1945,2085,,,
Truman,1950-10-11,36,48,1/20/1945,2090,,,
Truman,1950-10-18,40,45,1/20/1945,2097,,,
Truman,1950-12-01,33,52,1/20/1945,2141,25.0,4.3,
Truman,1951-02-09,25,58,1/20/1945,2211,,,
Truman,1951-03-02,27,58,1/20/1945,2232,,,
Truman,1951-03-24,26,60,1/20/1945,2254,,,
Truman,1951-04-14,24,54,1/20/1945,2275,,,
Truman,1951-05-24,23,63,1/20/1945,2315,,,
Truman,1951-06-14,24,61,1/20/1945,2336,,,
Truman,1951-07-06,28,56,1/20/1945,2358,,,
Truman,1951-08-01,29,58,1/20/1945,2384,25.9,3.1,
