Year,Sitting president,President's party,House seats,Senate seats
1946,Harry S. Truman,Democratic,-54: (242 ► 188),-10: (56 ► 46)
1954,Dwight D. Eisenhower,Republican,-18: (221 ► 203),-2: (49 ► 47)
1962,John F. Kennedy,Democratic,-4: (262 ► 258),+4: (64 ► 68)
1966,Lyndon B. Johnson,Democratic,-47: (295 ► 248),-3: (67 ► 64)
1970,Richard Nixon,Republican,-12: (192 ► 180),+2: (43 ► 45)
1974,Gerald Ford,Republican,-48: (192 ► 144),-4: (42 ► 38)
1978,Jimmy Carter,Democratic,-15: (292 ► 277),-2: (61 ► 59)
1982,Ronald Reagan,Republican,-26: (192 ► 166),0: (54 ► 54)
1990,George H. W. Bush,Republican,-8: (175 ► 167),-1: (45 ► 44)
1994,Bill Clinton,Democratic,-54: (258 ► 204),-9: (56 ► 47)
2002,George W. Bush,Republican,+8: (221 ► 229),+2: (49 ► 51)
2010,Barack Obama,Democratic,-63: (256 ► 193),-6: (59 ► 53)
2018,Donald Trump,Republican,-41: (241 ► 200),+2: (51 ► 53)
2022,Joe Biden,Democratic,-9: (222 ► 213),+1: (50 ► 51)
